SENTENCES,EMOTION,SCORING
im trying feel house style now im living own creative carte blanche,joy,5.0
tried see would like liked one girlfriends never really worked can only ever feel emotional connection friends,sadness,1.5
every intention more gardening morning still cool just feeling so rotten,sadness,1.5
good feeling so excited,joy,5.0
feel like just starting understand blessings come submissive will father,joy,5.0
think things ive said stuff done makes feel disgusted when should making happy smile far,anger,1.0
woke yesterday monday morning feeling little depressed,sadness,1.5
feel so embarrassed,sadness,1.5
spent time wandering around still kinda dazed not feeling particularly sociable id hiding couple days getting little unhealthy made go cross hang folks,joy,5.0
can honestly say each sistahs chat feel invigorated blessed,joy,5.0
still feel stupid class all pbss fault,sadness,1.5
feel little stunned cant imagine folks working studio morning feeling,surprise,3.5
admit im feeling little bit unloved point,sadness,1.5
feel bit stressed even though all things going fun,anger,1.0
im feeling pretty anxious,fear,2.0
feel shocked sad fact there so many sick people,surprise,3.5
think always proponents idea just slightly possible feelings particularly charming new england girl brought around way thinking,joy,5.0
feel like naughty schoolgirl falling behind,sadness,1.5
righthanded however play billiards lefthanded naturally so trying play righthanded feels weird,surprise,3.5
can feel kind friendly can understand feelings,joy,5.0
go overseas cross border then become foreigner will feel way never beloved land,love,4.5
feel disgusted any man power talks electricity problem area says even own house similar problems,anger,1.0
feel transcendent splendid,joy,5.0
finally arrived home couple hours later feeling somewhat exhausted dehydrated even sunburnt,sadness,1.5
feeling totally relaxed comfy,joy,5.0
want each feel gentle embrace,love,4.5
feel privileged world,joy,5.0
not people person some reason people feel can come bore petty garbage,anger,1.0
realized mistake im really feeling terrible thinking shouldnt,sadness,1.5
suppose feel too trusting sometimes,joy,5.0
came home waiting shower read something made upset thats why feel discontent haha,sadness,1.5
woke feeling crappy tired fighting feeling all day maybe all pollen barometric pressure dont know know offkilter,sadness,1.5
feel like paradise kissing sweet lips makes feel like dive magical world love,joy,5.0
feeling so happy,joy,5.0
running approximate minute pace feel quite acceptable,joy,5.0
feel so disappointed when exgirlfriend doesnt call back,sadness,1.5
feeling people using more than need enjoying feeling flies carefree tongue alright,joy,5.0
feeling uncertain merits posting blog frequency earnestness previous year,fear,2.0
just plain feel envious selfconfidence,anger,1.0
feeling weird other day went away minutes took metformin,fear,2.0
felt anger when friend dropped frog neck,anger,1.0
im feeling angry someone something thoughtful feelings toward soften,anger,1.0
love neglecting blog sometimes feel faithful readers,love,4.5
lay bed feeling though awaiting unwelcome visitor nevertheless told strong thought good things felt better,sadness,1.5
feel heart tortured done,sadness,1.5
still feeling weepy strung so maggie treated ice cream movie,sadness,1.5
feel needy comfortable feel vulnerable secure feel urge cum hard get no relief,sadness,1.5
journaled tendency sometimes overcommit can make feel exhausted overwhelmed,sadness,1.5
started feeling discouraged morning,sadness,1.5
feel agitated not foresee frustrations earlier leading ending relationship,anger,1.0
grab air smooth frame feels cold touch,neutral,2.5
angry boyfriend promised come see not spent evening pals,anger,1.0
hate im sitting here hostel writing feeling so perfectly fine then get home problems wall,sadness,1.5
when exercise feel energetic able perform other tasks very good manner,joy,5.0
looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss,sadness,1.5
im feeling pretty disheartened whole thing,sadness,1.5
feel input will valued less potent than say irfan pathan,sadness,1.5
feel generous,love,4.5
even feel little shaky,fear,2.0
feeling better though dont sound,joy,5.0
always feel troubled when road touring living van more recently circus buses no place hang hat song lyric,sadness,1.5
feel world then much more innocent place,joy,5.0
feel thoroughly virtuous even daily trip compost bin isnt most pleasant experience,joy,5.0
im not feeling anything suspicious really,fear,2.0
feeling little sentimental today,sadness,1.5
feel like know most now starting develop likes dislikes though not keen snap evictions seemed pretty pointless first one go returned two webmates made absolutely zero impact so wont missed,joy,5.0
feel less whiny since sun came here sf area,joy,5.0
made wonderful new friend,joy,5.0
feel almost embarrassed mention single redshank common sandpiper there again would not want mention lone wood sandpiper present waters edge,sadness,1.5
know easy feel little envious cant tell shouldnt,anger,1.0
would feel awful here whole time,sadness,1.5
feel very misled someone really really thought knew liked very much so,sadness,1.5
feel like doomed us humans,sadness,1.5
going check just few minutes there clock screen keeps ticking minutes left so feeling bit frantic,fear,2.0
got sleep could choose not woken alarm id definitely take anything makes feel so groggy,sadness,1.5
ive bored few weeks feeling bit gloomy rainy days,sadness,1.5
feel information vital moving day youre not complete read,joy,5.0
im feeling generous today heres one more may already seen good chuckle,joy,5.0
will feel awkward just calling one people blue hang rather familiar deeper level not kith kin,sadness,1.5
dont like feeling get when someone even little bit offended some offhand remark ive made,sadness,1.5
get crumble thanks feeling need tell im one messed,anger,1.0
controlling growth business every time post work client feel even more determined make fulltime business one day,joy,5.0
when pregnant dean spent rest pregnancy feeling terrified another baby,fear,2.0
actually feel agitated led terrible day yesterday unable concentrate anything basically piddled day away,anger,1.0
ed will tell know shouldnt feel ashamed eating protein bar breakfast fact ate one isnt makes shameful fact didnt make made hang head tuck tail,sadness,1.5
feel radiant bright accomplished happy,joy,5.0
feel like refrigerator magnets so popular few years ago,joy,5.0
feeling very touchdeprived all happening,sadness,1.5
feeling apprehensive also wildly excited,fear,2.0
feeling pretty relaxed time boarded very newlooking airbus headed hazy sky en route honolulu,joy,5.0
quiet person say feel important,joy,5.0
think started feel little homesick,sadness,1.5
feeling eager start some work man works there literally says so uhm guys want go back see can find anything,joy,5.0
feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support too tight too loose,sadness,1.5
im feeling reluctant exit freshly cleaned apartment stayed cleaning late last night,fear,2.0
feel need know can depend put position supporting someone else supported someone else,love,4.5
im feeling rather angsty listless,sadness,1.5
try best love shed some light feel deeply compassionate problems hurt even someone media,love,4.5
so uncomfortable feeling weird feelings wasnt sure contractions since never really felt contractions jared jacked pitocin,fear,2.0
feel gloomy tired,sadness,1.5
really like person feel question really asked sincere place love concern how move forward light sexuality study recently,joy,5.0
would force eat normal routine clean meals day then just started feeling so awful,sadness,1.5
feel rather privileged witnessed great man action really impossible novice like work just one four identicallooking riders,joy,5.0
feel like im spa getting wonderful facial when use,joy,5.0
feel petty all sudden,anger,1.0
hope like more honest raw blog post feeling unhappy hope makes feel less alone,sadness,1.5
feel slightly disgusted well,anger,1.0
quite surprised weather past few days im so thankful since still can wear shorts without feeling cold yes no kidding,joy,5.0
feel slightly relaxed,joy,5.0
feel shy admit struggling haul single computer,fear,2.0
just went script would like mustard sauce started feel really startled,fear,2.0
enjoy colleagues im not feeling very sociable today,joy,5.0
im feeling ive liked pregnant,love,4.5
then feel tender touch enfold love,love,4.5
lost few people hate really hard time letting go people feel loyal,sadness,1.5
no interest all make any effort meet men when chance arises then feel burdened negative thoughts hell just another idiot only one thing,sadness,1.5
feel im nutritionally supportive well,love,4.5
feel impatient just post blog entry feel ive gotten some words written world,anger,1.0
trying hardest so can get place where can join finally feel like something worthwhile say,joy,5.0
admit feel amused when see pti jamiat whole lot others media try avoid suggestion actually protesting use sharia case raymond daviss release,joy,5.0
feel embarrassed got so bad,sadness,1.5
im feeling really bitter one,anger,1.0
feel brave today heading amman beirut way istanbul,joy,5.0
fab christmas amazing new year family friends all odds feel very optimistic,joy,5.0
feel like loser everyone says lost im not know exactly where just hate here oh,sadness,1.5
sometimes feel defeated other times feel refreshed,sadness,1.5
feeling particularly vulnerable specific area so began talking friends interestingly enough there incredible understanding struggle,fear,2.0
go onto officer memorial page reflect feelings wonderful officer seems make feel little better,joy,5.0
even when im group people still feel isolated outside looking,sadness,1.5
feel blessed know family,love,4.5
feel terrified landlord not changed locks yet,fear,2.0
losing feel like so much share many anything not unfortunate anything makes grateful,joy,5.0
dont like eating meals feel too virtuous,joy,5.0
left feeling pretty thrilled opportunity least throw name hat,joy,5.0
feel kinda weird when andrea tries talk chris,fear,2.0
loved ellie didnt feel insulted all rude douchebaggy things lothaire said according ellie insults only hurt when come somebody respect damn straight,anger,1.0
feel pretty triumphant,joy,5.0
im enjoying solitary confinement home rarely feel lonely,joy,5.0
overdramatic feel very strongly resolved speak next chance get,joy,5.0
really dont like quinn feel like will just end hurting barney hated lame tedrobin storyline,anger,1.0
feel so lousy shouldnt focusing now,sadness,1.5
cant remember ever feeling so exhausted took three trips car last day get everything brought trailer,sadness,1.5
wrote two years ago so many things feel unsure maybe,fear,2.0
feel suspicious informality lack credentials,fear,2.0
receive every month make proud feel appreciative,joy,5.0
feel third situation pretty much sums feelings toward title,joy,5.0
wanted feel hands reached take waiting eager mouth,joy,5.0
feel more gentle way wth,love,4.5
got home feeling hot tired great,joy,5.0
feel more creative,joy,5.0
feel so talented can use computer,joy,5.0
feel unfathomably rich healthy pregnancy so far,joy,5.0
wish know whether should feel sympathetic towards airline american say plane fire pilot exploded whether should want set fire say just decided walk obligations save money,anger,1.0
dont want feel so pressured,fear,2.0
still feel frightened world yet nowhere near much used,fear,2.0
im not feeling mellow,anger,1.0
wake too early so feel grumpy,anger,1.0
believe all will come workplace just try make feel humiliated know deep heart know one should ashamed themselves,sadness,1.5
finally get didnt laugh left feeling delighted exhausted just so privileged,joy,5.0
remembering feeling skeptical,fear,2.0
some pretty brazen goals each day feel stronger more confident im going reach desired end result,joy,5.0
feel dirty talking people personal gain,sadness,1.5
sat there cold flashed back going hockey city classic degree weather feeling just cold even though there degree difference night,sadness,1.5
feel numb carry wonder will get,sadness,1.5
somewhat coerced blog review so feel bit rushed flustered,anger,1.0
guess wont feel too jealous since often mothering pool nice husband again,anger,1.0
im not sure how feel needing exercise so maintain pleasant demeanor,joy,5.0
feel alarmed,fear,2.0
think wanted audiences feel impressed inspired entertained when stage,joy,5.0
wasnt feeling well yesterday morning afternoon so just laid bed ended alltoofamiliar youtube black hole,sadness,1.5
terrible feelings hyped more talented than,fear,2.0
take halfmarathon challenge then will wait see how body feels whether there will pb attempt casual kilometre shuffle,joy,5.0
couldnt help feel pissed both sides debate unnecessary dichotomy itself,anger,1.0
feel like cant respected selfrespect so regular now hate yourself,sadness,1.5
smiled feeling longing said maybe later buddy make lunch now,love,4.5
truly unfortunate majority time im usually drained find hard get bed really feel restless other things,fear,2.0
feeling rather damaged,sadness,1.5
said feel ugly today,sadness,1.5
left garmin bike so going feel coming transition amazing hearing cheers adrenaline just going crazy,joy,5.0
feel so smart when find ways trick like,joy,5.0
love dance often feel inhibited own body unsure capable hyperconcerned other people watching opinions style just feeling awkward no idea supposed here,fear,2.0
feel like cards perfect thing make,joy,5.0
feel like some heroine some tragic manga,sadness,1.5
just feel safer than working parttime casual hr,joy,5.0
ambushed again apparently fault again feel worthless,sadness,1.5
feel privileged part something so eternal so precious lord jesus shed blood so churches like could exist,joy,5.0
feel wholly inadequate task,sadness,1.5
feeling bit naughty scanning article magazine know so many people would love read,love,4.5
see pitchers mound little league diamond feel so anxious looks so isolated there,fear,2.0
feel like joining masses goes rebellion popular mentality ha im so goth take peace knowing not making same resolutions everyone else,joy,5.0
feel disillusioned occult so come feel greater connection earth,sadness,1.5
feel stupid whenever happens,sadness,1.5
come home feel so shitty cant bring all work need,sadness,1.5
feel like irritable sensitive combination skin finally met match,anger,1.0
like though very top makes feel clever association,joy,5.0
will practice meditation feel overwhelmed hopefully become successful peaceful practice,joy,5.0
feel like all vain cant right feel wrong heart mine just,sadness,1.5
hope everyone can help charity work without feeling stressed such things,sadness,1.5
feel so guilty putting child daycare,sadness,1.5
get frustrated unresolved issues past severe negative effect behavior feel must angry not resolved now,anger,1.0
feel blessed beyond blessed share life each week,love,4.5
feel devastated things lost will remind grateful still,sadness,1.5
im feeling energetic,joy,5.0
come understand feelings neither positive nor negative,joy,5.0
just dont like asked reason behind mood when im feeling gloomy laughs,sadness,1.5
feel really bothered lack time get find inspiration,anger,1.0
used able hang around talk cashier when putting away money now feel rushed stressed take second fumble coins put purse,anger,1.0
feel frustrated world around lies shattered just go walk rain so nobody could see eyes full tears delivery system justice conceptualized courts learning hard way,anger,1.0
realized passionate helping women feel accepted appreciated,joy,5.0
could change emphasis say stella im noticing im feeling impatient,anger,1.0
dont like outsourcing im picky sod usually end feeling dissatisfied work others force outsource need realize cant everything yourself,anger,1.0
feel so blessed honored get parents,love,4.5
feel welcomed little weird,joy,5.0
feel like entertained sd all day,joy,5.0
ive struggled mightily today even though feel cranky tired unmotivated still really not going going sleep eleventhirty,anger,1.0
remember sitting porch feeling drained alone even sunlight bathed hair warm radiance light breeze cooled cheeks,sadness,1.5
didnt feel rushed things,anger,1.0
realized feeling really irritated saying,anger,1.0
balancing hands feet hanging feels like pretty far im terrified let drop im totally calm same time hanging here,fear,2.0
feel so fucking worthless,sadness,1.5
feel like lot men royally fucked go life wreaking havoc end destroying themselves process,anger,1.0
feel devastated art style can copied,sadness,1.5
feel fine feeling well fine,joy,5.0
can only begin feel how distraught must,sadness,1.5
also didnt feel could mad god know inside god nothing without purpose,love,4.5
think both feeling little drained work well,sadness,1.5
gather supplies start check progress via internal exam head midwife prepares start iv calmly asks others more assistance feel reassured calmness,joy,5.0
feel crappy eat crappy,sadness,1.5
feel more numb now,sadness,1.5
feel extremely honoured received such prestigious award,joy,5.0
im feeling adventurous successful quest so far,joy,5.0
feel so thrilled three such distinguished individuals such yourselves here,joy,5.0
figured parents wont make feel accepted so stopped trying turned romantic relationships men,sadness,1.5
left feeling empty,sadness,1.5
feel pretty much like scene,joy,5.0
may not really feeling superior certainly feeling answers wasnt,joy,5.0
just feel ludicrous wasting space so trite should looked book first come something little more original,anger,1.0
feel like wimpy canoe floating towards rising tsunami,fear,2.0
feel sympathetic towards tired weary can see how splitsecond doubt could make effortless action standing still seem like better option,love,4.5
start feel unloved unappreciated,sadness,1.5
just want know feeling loving loved,love,4.5
feel strange talking less serious things right now like cooking,fear,2.0
sometimes urges just freak feel so bothered usually nothing caused feel bothered irritated scratch arms when im mad,anger,1.0
feel miserable doesnt care,sadness,1.5
not surprised cause like ok when feel crappy just continues like days so really try avoid getting sickness again,sadness,1.5
im feeling slightly irritable today,anger,1.0
like add things already completed day new list just feel more productive when cross,joy,5.0
always feel rushed emails dont like asa este,anger,1.0
feel like now more sweet apple now,joy,5.0
so impressed show especially hs moved talented kids then again feel very passionate productions music theatre schools so always happy endorse many hs productions throughout seasons time,joy,5.0
feel like should supporting somehow im not sure how,joy,5.0
lot going life feel overwhelmed,fear,2.0
took granted few weeks ago really weird makes feel really agitated frustrated,anger,1.0
also know feels like relationship where feel like burden too much not worth loving pursuing just,sadness,1.5
know mean feeling agitated,anger,1.0
feeling pressured blog bad,fear,2.0
feel like sociable just aaaah,joy,5.0
didnt feel all deprived chair morning,joy,5.0
feeling very unsure near breaking point,fear,2.0
remember leaving church feeling invigorated every sunday tuesday night,joy,5.0
will no longer tell anybody how feel im thinking cause all seems get more hated than already,sadness,1.5
asked meant shes gonna feel jealous loads girls then said maybe like bit,anger,1.0
feel supporting troops demanding not send young men women harms way bear arms country done nothing threaten us any point,love,4.5
feel all funny sometimes,surprise,3.5
feeling crampy cranky,anger,1.0
indicated then feeling quite overwhelmed work responsibilities teaching traveling writing,fear,2.0
just say not even feeling embarrassed when pause rewind dvrd commercials breaking dawn preview comes,joy,5.0
spend lot time feeling disappointed not better job attaining goals,sadness,1.5
feel stressed love feeling calming spirit heavenly father feeling keep working,sadness,1.5
feel more thankful greeted many friends families,joy,5.0
no longer feel doomed falling abyss no way,joy,5.0
bought urban outfitters so could fit mm film feeling remorseful ever since,sadness,1.5
just cant feel accepted,sadness,1.5
ive feeling briar beagle would give one disgusted looks even tried exercising soulless surroundings,anger,1.0
just need accept treated like princess everyday without feeling dumb situation,joy,5.0
just got nap feeling really rotten so exhausted feel like could just wilt onto floor just sitting here,sadness,1.5
feel very indecisive,fear,2.0
feel pressure vessel seriously damaged then far more radiation would leaked said,fear,2.0
better things than feel humiliated,anger,1.0
feel check wonder all see youve got get loving unconditionally,love,4.5
ive feeling bit melancholy,sadness,1.5
believe feeling accepted nonjudgemental way can healing,joy,5.0
feel stressed,sadness,1.5
feel benevolent enough buy some peanuts other treats,joy,5.0
feel fine,joy,5.0
feel so worthless useless past weeks just im certified bystander home,sadness,1.5
feel immensely distracted barrage media receive,anger,1.0
ive feeling adoring fans would whole lot friends here felt brave excited ventured forth guitar hand local open mic night,joy,5.0
love captured atmospheric feeling landscapes really impressed,joy,5.0
hand started fondling aching cock fabric boxers instinctively arched back feel more delicious sensation,joy,5.0
feeling energized productive creative,joy,5.0
feeling lucky,joy,5.0
feel vital keeping spirit young even body fades,joy,5.0
feel agitated annoyed more than worried fearful feelings can easily lead shorttempered family feelings disharmony,anger,1.0
still feel scared every time go strange place,fear,2.0
dont feel author talented,sadness,1.5
feel so jaded bored,sadness,1.5
im pretty sure week half so although im feeling kind betrayed disillusioned men moment everythings okay,sadness,1.5
feel like ive lost mind,sadness,1.5
could feel breath smell sweet scent,joy,5.0
could just take beliefs feelings lock safe somewhere get human life squared away just everyone know would lot happier perhaps not,joy,5.0
feeling sinfully horny sunday morning,love,4.5
just feel like someone there listen sympathetic then,love,4.5
ive feeling little blank could think nothing write might interesting explore mind captivated,sadness,1.5
feel sleep drained head sat dog nudging affection wife too wanting affection,sadness,1.5
feel aid other women infertility disorders valuable individual guidance offered restricted number people,joy,5.0
remember feeling envious then why would young healthy person envy someone whos just barely survived,anger,1.0
im still feeling very emotional,sadness,1.5
im last bit sleep get morning feel like emotional energy just waits,sadness,1.5
know nothing going change even feel very envious people cant stop feeling jealous people human beings instinct act so,anger,1.0
im happy feel energy not very inspired crafts,joy,5.0
struck masculine feel strong graphics deep colors months painting nighthawks edward hopper,joy,5.0
feel like youre just not there somebody im trying affectionate feels like im molesting some stranger dont even know,sadness,1.5
think opposite get feel defeated everything possible keep baby healthy sugars check,sadness,1.5
trying not feel bitter how else can feel when seems desire pretty much impossible,anger,1.0
feel nagged stop caring,anger,1.0
just feel totally useless today,sadness,1.5
feel honored receive grassroots preservation award,joy,5.0
feel contented just hearing said,joy,5.0
reminded pavement yurusei yatsura coheed cambria without feeling offended ripped,anger,1.0
feel no positive regard,sadness,1.5
im feeling lot less ugly duckling lot more,sadness,1.5
suppose one feeling generous one could say stressed elevator ride,joy,5.0
im feeling kind melancholy really want go home cuddle boys,sadness,1.5
feel like people love want need dont talk dont connect anymore fucked mental health emotional problems cant help contribute contain understand encompass,anger,1.0
feel suffering more than can bear take refuge lord blessed sacrament speak profound silence,sadness,1.5
feel afraid agn lol whats new,fear,2.0
writing sharing here much more own story believe all heart world needs know riches god than feeling angry towards trying bash people leaders parents,anger,1.0
im feeling dazed lot things mind,surprise,3.5
feel so scared when voices there start speak,fear,2.0
feel very honoured part bond family very much hope chance work again sometime future,joy,5.0
feel insulted pete edochie responds death,anger,1.0
feel angry not such hostile extent,anger,1.0
always feel so pressured,fear,2.0
electrocuted thumb cant type too well cant really know feel some fingers acceptable excuse late paper,sadness,1.5
carried phone pocket didnt feel pull get lost,sadness,1.5
sit here writing feel unhappy inside,sadness,1.5
could feel mothers sympathetic dread diagnosed,love,4.5
get disappointed makes feel so rejected especially disappointed loved one,sadness,1.5
left there feeling browbeaten,sadness,1.5
feeling vulnerable nervous worried anxious bit lost,fear,2.0
feeling defeated usually pick things easily way just wasnt getting,sadness,1.5
most certainly acquired taste lately many around seemed feel taste bitter,anger,1.0
feel rich life both real online filled friends family would not want live without,joy,5.0
feel bad saying should happy dont think way im going anymore,sadness,1.5
ive feeling afraid lot lately,fear,2.0
see momo feel shy momo hmmm heyy momo,fear,2.0
feel amused looking little turtle sneaked,joy,5.0
purple month doesnt feel surprised fact zhuo feng many pupils all clear xiao identity dont even say main star feng young,surprise,3.5
feel like there no way humiliated asa guy obsessed played embarrassing joke getting caught tabbys wife tabby lover once married blindly fell love,sadness,1.5
feel like breathing delicate dried rose petals sometimes,love,4.5
im thankful feel somewhat energetic instead dead fish would become every time every chemo,joy,5.0
feel so honored today want share emotion gratitude received very complimentary email someone reads thoughtprovoking perspectives,joy,5.0
ive tried bare minerals makes feel like face dirty,sadness,1.5
feel quite passionate how old should children undergo beauty treatments,joy,5.0
feel like im going struggle fail suffer really dumb,sadness,1.5
feel little bit shy talk second managed saw eyes theres something girl,fear,2.0
love place series no real heroes love way couples books fall love feels just violent crazy place call home,anger,1.0
will feel more lively full bounce,joy,5.0
always very sincere nicefeeling sociable compassionate helpful girl,joy,5.0
feel like obnoxious nagging calltimeseveryday tagalonger finally sick tolerating now just giving cold shoulder,anger,1.0
loved feeling got amazing slalom run whether training race,joy,5.0
feeling especially shy awkward didnt know many people there,fear,2.0
im still feeling little groggy lack sleep so shall try replenish,sadness,1.5
sitting home revising today all all feeling quite stressed,anger,1.0
guess feelings arent meant inhibited prohibited,fear,2.0
embraced feeling thankful middle wall partition thus far broken,joy,5.0
began feel very strange,fear,2.0
didnt feel pressured constrained choices behave particular way just felt very busy,fear,2.0
one lowcarb meal bars breakfast feeling smug when spotted leftover pies muffins attractive foods,joy,5.0
im going life feeling now rather than totally numb,sadness,1.5
dont want flowers candy kind guy knows like thinly sliced limes mineral water makes feel glamorous humored how pretentious,joy,5.0
feel unprotected,sadness,1.5
always feel really confident life choices when go home,joy,5.0
feeling more more frustrated each session attended,anger,1.0
feel like last year especially ive gone girl woman despite how hesitant always getting older next year will twentyfour surprised how pleased done so,joy,5.0
feel attacked insulted helpful realize idea attack alive well own mind,anger,1.0
ive missed feeling ive missed there ive missed something work towards keeps focus keeps phone potential trouble can get,sadness,1.5
im feeling bit uncomfortable too,fear,2.0
know nowhere near worse brethren overseas right now feel like im physically emotionally spiritually assaulted,fear,2.0
feeling so reluctant overwhelmed try think alternative abandoning dream,fear,2.0
usually like sam sometimes gets downright whiny ill admit all mistakes made due sibling rivalry pride eventually led end season kind made feel less tragic whole thing,sadness,1.5
hope shes feeling generous today treats japanese food something haha great day,joy,5.0
feeling bit offended,anger,1.0
offend easily when feel intelligence insulted,anger,1.0
always feel bit awkward when comment someones blog invariably go rabbit trails feel though ive overstepping so id like tell find yourself feeling same way not mind slightest,sadness,1.5
feel like may coming point tv series where show incredibly popular sadly writers coming end storylines soon there will nothing left keep plot afloat,sadness,1.5
entertaining memory same time feeling like guy movie dazed confused says just keep gettin older girls stay same age,surprise,3.5
continue enforce noplaydate policy meant continued feel angry twice each day once horrible morning dropoff once afternoon when reminded noah no couldnt play bad dropoff missing mommy,anger,1.0
woke feeling groggy grumpy like last thing wanted make dinner,sadness,1.5
wake feeling like something terrifyingly bad bound happen even get chance stick limb outside covers,sadness,1.5
feel god life more now than ever things so wonderful right now,joy,5.0
feel like ive neglectful friend due fact feel like hindrance so just stay away,sadness,1.5
not know could not look upon sea sky without feeling mildly discontent,sadness,1.5
hate feeling like bullshit ok im so done bye,anger,1.0
tasted some hari raya cookies feeling greedy would go prebook kueh makmur tart know hygiene standard ingredients,joy,5.0
sit here feeling drained really wonder will when reach point,sadness,1.5
buy something go look else didnt buy then bit comparison here there suddenly feel dissatisfied purchase,anger,1.0
ive feeling incredibly inadequate more so than usual gotten point where almost feel paralyzed,sadness,1.5
im amazed how many men say feel unloved house messy fix own dinner,sadness,1.5
feel restless weekend heading way,fear,2.0
feel ugly cover beautiful blanket makebelieve gown,sadness,1.5
always said felt so blessed today feeling reassured many times,joy,5.0
cant strappy shoes work just feel weird so took,fear,2.0
love fact look best can feel terrific eat right constantly exercise,joy,5.0
decent article knew likely good information initial response feel offended want argue despite fact talking not exactly,anger,1.0
moments where just feel so overwhelmed eyes well tears,fear,2.0
started feeling thankful food able enjoy such delicious things got cooking baking healthy meals family,joy,5.0
dont want tag people think silly there people there want tagged wouldnt want make feel unwelcome,sadness,1.5
medication im taking allowing get sleep wonderful leaving feeling very groggy nauseated,sadness,1.5
feel unpleasant drop stomach elevator doors open floor,sadness,1.5
feel highly talented bunch when rolling all cylinders,joy,5.0
feel hand stay faithful,love,4.5
so focused heavy breathing even strides drops sweat forehead forgot feel socially awkward,joy,5.0
cant help feeling way,sadness,1.5
feel like would order carryout lived area still curious try some other tacos,joy,5.0
feel afraid whatever anything will happen dont care good bad just afraid hope god will help whatever,fear,2.0
entered living room horrible feeling aching depths stomach,sadness,1.5
feel very glad finlands wellknown visual artist vesa kivinen called work,joy,5.0
feel relatively safe normal whatever might call,joy,5.0
feel bitchy saying think next saturday just want alone,anger,1.0
feel very honored shortlisted within patient ambassador volunteer category recognises members public staff provide outstanding help support volunteering providing patient opinions either public partnership forum patients panel,joy,5.0
feel quite helpless all so prayer most effective tool no answers there nothing else can offer right now,sadness,1.5
know feel pretty disgusted nonstop lefty propaganda ministry churns public isnt tuned,anger,1.0
feel complacent satisfied,joy,5.0
ventured fabrics fabrics whim yesterday feeling bit nervous knowing would tempted beyond comfort,fear,2.0
havent feeling homesick knowing all getting together enjoy mums cooking make want teleporter,sadness,1.5
feel ugly hated,sadness,1.5
feeling whether mad sad disappointed peaceful,sadness,1.5
